Valid Indices,Volume,Fission RX,Avg Fission RX,Fission RX g1,Avg Fission RX g1,Fission RX g2,Avg Fission RX g2,Fission RX g3,Avg Fission RX g3,Fission RX g4,Avg Fission RX g4,Fission RX g5,Avg Fission RX g5,Fission RX g6,Avg Fission RX g6,Fission RX g7,Avg Fission RX g7,Scalar Flux,Avg Scalar Flux,Scalar Flux g1,Avg Scalar Flux g1,Scalar Flux g2,Avg Scalar Flux g2,Scalar Flux g3,Avg Scalar Flux g3,Scalar Flux g4,Avg Scalar Flux g4,Scalar Flux g5,Avg Scalar Flux g5,Scalar Flux g6,Avg Scalar Flux g6,Scalar Flux g7,Avg Scalar Flux g7
224,2.19071312,7.08395516,5.23064823,0.54420168,0.40182744,0.13301792,0.09821772,0.46404836,0.34264386,0.45717906,0.33757171,0.30778691,0.22726359,1.40303794,1.03597464,3.77468330,2.78714928,624.17628087,284.91922379,121.21667986,55.33206467,261.00367061,119.14096309,116.54285327,53.19859198,40.16995956,18.33647649,27.91332546,12.74166172,27.66590133,12.62871944,29.66389079,13.54074642
225,2.18820946,7.07407866,5.22750810,0.54377887,0.40183444,0.13291168,0.09821730,0.46366619,0.34263385,0.45677250,0.33753963,0.30750730,0.22723763,1.40136208,1.03555982,3.76808004,2.78448543,623.41967935,284.89945332,121.07226759,55.32937761,260.69924726,119.13815923,116.40900899,53.19829342,40.12399012,18.33644851,27.88140376,12.74165214,27.62751871,12.62562803,29.60624292,13.52989439
226,2.42864477,6.29063907,5.13678651,0.48765041,0.39820375,0.11926951,0.09739265,0.41837991,0.34163910,0.40973033,0.33457606,0.26888332,0.21956373,1.22288442,0.99857838,3.36384118,2.74683284,687.84627322,283.22226574,132.93876348,54.73783789,286.60927673,118.01202085,129.19384497,53.19585919,44.62215386,18.37327323,30.33648652,12.49111725,30.25874698,12.45910782,33.88700068,13.95304952
227,2.18820946,7.07407866,5.22750810,0.54377887,0.40183444,0.13291168,0.09821730,0.46366619,0.34263385,0.45677250,0.33753963,0.30750730,0.22723763,1.40136208,1.03555982,3.76808004,2.78448543,623.41967935,284.89945332,121.07226759,55.32937761,260.69924726,119.13815923,116.40900899,53.19829342,40.12399012,18.33644851,27.88140376,12.74165214,27.62751871,12.62562803,29.60624292,13.52989439
228,2.42705763,6.26572991,5.13313054,0.48598923,0.39814135,0.11887579,0.09738768,0.41701725,0.34163681,0.40841791,0.33459189,0.26807132,0.21961449,1.21864504,0.99836159,3.34871338,2.74339673,687.21470703,283.14725593,132.82636731,54.72732326,286.38450397,117.99658187,129.09674948,53.19064041,44.58032603,18.36805419,30.29823494,12.48352515,30.20925528,12.44686362,33.81927003,13.93426743
229,1.93959257,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,511.95811004,263.95136705,104.12749737,53.68524248,227.22680440,117.15182254,99.64674150,51.37508934,30.40348785,15.67519300,18.45179889,9.51323447,16.44679609,8.47951078,15.65498393,8.07127444
230,2.42705763,6.26572991,5.13313054,0.48598923,0.39814135,0.11887579,0.09738768,0.41701725,0.34163681,0.40841791,0.33459189,0.26807132,0.21961449,1.21864504,0.99836159,3.34871338,2.74339673,687.21470703,283.14725593,132.82636731,54.72732326,286.38450397,117.99658187,129.09674948,53.19064041,44.58032603,18.36805419,30.29823494,12.48352515,30.20925528,12.44686362,33.81927003,13.93426743
231,2.18820946,7.07407866,5.22750810,0.54377887,0.40183444,0.13291168,0.09821730,0.46366619,0.34263385,0.45677250,0.33753963,0.30750730,0.22723763,1.40136208,1.03555982,3.76808004,2.78448543,623.41967935,284.89945332,121.07226759,55.32937761,260.69924726,119.13815923,116.40900899,53.19829342,40.12399012,18.33644851,27.88140376,12.74165214,27.62751871,12.62562803,29.60624292,13.52989439
232,2.42864477,6.29063907,5.13678651,0.48765041,0.39820375,0.11926951,0.09739265,0.41837991,0.34163910,0.40973033,0.33457606,0.26888332,0.21956373,1.22288442,0.99857838,3.36384118,2.74683284,687.84627322,283.22226574,132.93876348,54.73783789,286.60927673,118.01202085,129.19384497,53.19585919,44.62215386,18.37327323,30.33648652,12.49111725,30.25874698,12.45910782,33.88700068,13.95304952
233,2.18820946,7.07407866,5.22750810,0.54377887,0.40183444,0.13291168,0.09821730,0.46366619,0.34263385,0.45677250,0.33753963,0.30750730,0.22723763,1.40136208,1.03555982,3.76808004,2.78448543,623.41967935,284.89945332,121.07226759,55.32937761,260.69924726,119.13815923,116.40900899,53.19829342,40.12399012,18.33644851,27.88140376,12.74165214,27.62751871,12.62562803,29.60624292,13.52989439
234,2.18527859,7.08761568,5.22865791,0.54480081,0.40190908,0.13314404,0.09822269,0.46441968,0.34261051,0.45737353,0.33741245,0.30786507,0.22711744,1.40350955,1.03539352,3.77650300,2.78599224,622.68433801,284.94505893,120.92619979,55.33674291,260.37013925,119.14734343,116.25784654,53.20046918,40.07372251,18.33803827,27.85127517,12.74495400,27.60662465,12.63300007,29.59853011,13.54451107
235,2.43450650,6.24449046,5.13757188,0.48406073,0.39825456,0.11839083,0.09740449,0.41525521,0.34164573,0.40663595,0.33455435,0.26695037,0.21962989,1.21415986,0.99893396,3.33903749,2.74714890,689.48475964,283.21335760,133.27719129,54.74505463,287.31448816,118.01754823,129.50106235,53.19396864,44.71798908,18.36839996,30.39756529,12.48613027,30.32103443,12.45469439,33.95542905,13.94756147
236,2.18527859,7.08761568,5.22865791,0.54480081,0.40190908,0.13314404,0.09822269,0.46441968,0.34261051,0.45737353,0.33741245,0.30786507,0.22711744,1.40350955,1.03539352,3.77650300,2.78599224,622.68433801,284.94505893,120.92619979,55.33674291,260.37013925,119.14734343,116.25784654,53.20046918,40.07372251,18.33803827,27.85127517,12.74495400,27.60662465,12.63300007,29.59853011,13.54451107
237,2.42705763,6.26760761,5.13987340,0.48573546,0.39833681,0.11877744,0.09740575,0.41659948,0.34164049,0.40797333,0.33456646,0.26780996,0.21962276,1.21812396,0.99894622,3.35258798,2.74935491,687.35619452,283.20555182,132.84859591,54.73648192,286.40707219,118.00588046,129.10170557,53.19268242,44.58325380,18.36926050,30.30429285,12.48602115,30.23137244,12.45597637,33.87990176,13.95924900
238,1.93959257,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,512.04927519,263.99836927,104.14045418,53.69192265,227.24344691,117.16040295,99.65295848,51.37829464,30.40758607,15.67730592,18.45702568,9.51592926,16.46053643,8.48659492,15.68726743,8.08791892
239,2.42705763,6.26760761,5.13987340,0.48573546,0.39833681,0.11877744,0.09740575,0.41659948,0.34164049,0.40797333,0.33456646,0.26780996,0.21962276,1.21812396,0.99894622,3.35258798,2.74935491,687.35619452,283.20555182,132.84859591,54.73648192,286.40707219,118.00588046,129.10170557,53.19268242,44.58325380,18.36926050,30.30429285,12.48602115,30.23137244,12.45597637,33.87990176,13.95924900
240,2.18527859,7.08761568,5.22865791,0.54480081,0.40190908,0.13314404,0.09822269,0.46441968,0.34261051,0.45737353,0.33741245,0.30786507,0.22711744,1.40350955,1.03539352,3.77650300,2.78599224,622.68433801,284.94505893,120.92619979,55.33674291,260.37013925,119.14734343,116.25784654,53.20046918,40.07372251,18.33803827,27.85127517,12.74495400,27.60662465,12.63300007,29.59853011,13.54451107
241,2.43450650,6.24449046,5.13757188,0.48406073,0.39825456,0.11839083,0.09740449,0.41525521,0.34164573,0.40663595,0.33455435,0.26695037,0.21962989,1.21415986,0.99893396,3.33903749,2.74714890,689.48475964,283.21335760,133.27719129,54.74505463,287.31448816,118.01754823,129.50106235,53.19396864,44.71798908,18.36839996,30.39756529,12.48613027,30.32103443,12.45469439,33.95542905,13.94756147
242,2.18527859,7.08761568,5.22865791,0.54480081,0.40190908,0.13314404,0.09822269,0.46441968,0.34261051,0.45737353,0.33741245,0.30786507,0.22711744,1.40350955,1.03539352,3.77650300,2.78599224,622.68433801,284.94505893,120.92619979,55.33674291,260.37013925,119.14734343,116.25784654,53.20046918,40.07372251,18.33803827,27.85127517,12.74495400,27.60662465,12.63300007,29.59853011,13.54451107
243,2.18747674,7.09230534,5.23426515,0.54459834,0.40192462,0.13310192,0.09823192,0.46427822,0.34264674,0.45726017,0.33746728,0.30779429,0.22715843,1.40405967,1.03622450,3.78121272,2.79061166,623.51423375,285.03810850,121.08943220,55.35575749,260.68088776,119.16967272,116.38619575,53.20568368,40.11943015,18.34050590,27.88685785,12.74841340,27.65985841,12.64464112,29.69157163,13.57343419
244,2.43011020,6.31059480,5.14667886,0.48843966,0.39835263,0.11944369,0.09741369,0.41896766,0.34169394,0.41038493,0.33469420,0.26944966,0.21975280,1.22631069,1.00013192,3.37759851,2.75463968,688.33057531,283.25076600,133.05006509,54.75063030,286.81270388,118.02456695,129.27012761,53.19517101,44.63488810,18.36743376,30.33724266,12.48389586,30.27491791,12.45824898,33.95063006,13.97081913
245,2.18747674,7.09230534,5.23426515,0.54459834,0.40192462,0.13310192,0.09823192,0.46427822,0.34264674,0.45726017,0.33746728,0.30779429,0.22715843,1.40405967,1.03622450,3.78121272,2.79061166,623.51423375,285.03810850,121.08943220,55.35575749,260.68088776,119.16967272,116.38619575,53.20568368,40.11943015,18.34050590,27.88685785,12.74841340,27.65985841,12.64464112,29.69157163,13.57343419
246,2.42705763,6.31368147,5.15100353,0.48823346,0.39832423,0.11939363,0.09740704,0.41880202,0.34167874,0.41017623,0.33464140,0.26918853,0.21961689,1.22575320,1.00002813,3.38213439,2.75930712,687.59764457,283.30503444,132.88409796,54.75110953,286.45610060,118.02608122,129.11575810,53.19847237,44.58985448,18.37198013,30.31243519,12.48937596,30.26585268,12.47018297,33.97354556,13.99783227
247,1.93959257,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,512.16650366,264.05880901,104.16439839,53.70426762,227.27455230,117.17644002,99.66151358,51.38270542,30.41158809,15.67936926,18.46152794,9.51825050,16.47395820,8.49351481,15.71896514,8.10426138
248,2.42705763,6.31368147,5.15100353,0.48823346,0.39832423,0.11939363,0.09740704,0.41880202,0.34167874,0.41017623,0.33464140,0.26918853,0.21961689,1.22575320,1.00002813,3.38213439,2.75930712,687.59764457,283.30503444,132.88409796,54.75110953,286.45610060,118.02608122,129.11575810,53.19847237,44.58985448,18.37198013,30.31243519,12.48937596,30.26585268,12.47018297,33.97354556,13.99783227
249,2.18747674,7.09230534,5.23426515,0.54459834,0.40192462,0.13310192,0.09823192,0.46427822,0.34264674,0.45726017,0.33746728,0.30779429,0.22715843,1.40405967,1.03622450,3.78121272,2.79061166,623.51423375,285.03810850,121.08943220,55.35575749,260.68088776,119.16967272,116.38619575,53.20568368,40.11943015,18.34050590,27.88685785,12.74841340,27.65985841,12.64464112,29.69157163,13.57343419
250,2.43011020,6.31059480,5.14667886,0.48843966,0.39835263,0.11944369,0.09741369,0.41896766,0.34169394,0.41038493,0.33469420,0.26944966,0.21975280,1.22631069,1.00013192,3.37759851,2.75463968,688.33057531,283.25076600,133.05006509,54.75063030,286.81270388,118.02456695,129.27012761,53.19517101,44.63488810,18.36743376,30.33724266,12.48389586,30.27491791,12.45824898,33.95063006,13.97081913
