CMFD Cell,FSR id,Centroid
39,2587,"-0.697139,-0.347782,-86.943410"
39,3931,"-0.656858,-0.374869,-86.947476"
39,2688,"-0.626143,-0.244958,-86.951071"
39,2314,"-0.566282,-0.437213,-86.927397"
40,629,"0.000000,0.000000,-86.959254"
40,630,"0.000000,-0.000000,-81.851751"
40,2393,"-0.000000,0.000000,-86.952010"
40,595,"0.000000,-0.000000,-86.957152"
40,1122,"0.000000,0.000000,-81.893647"
40,2394,"-0.000000,0.000000,-81.902004"
40,596,"0.000000,-0.000000,-81.895194"
40,1121,"0.000000,0.000000,-86.956473"
40,594,"-0.000000,-0.000000,-93.500595"
41,1750,"0.651065,0.385518,-81.894310"
41,3210,"0.565020,0.441607,-81.891596"
41,3423,"0.697139,0.347782,-86.943410"
41,1784,"0.624424,0.249702,-81.879695"
41,3424,"0.690834,0.356940,-81.878422"
41,3209,"0.566282,0.437213,-86.927397"
41,1748,"0.606361,0.355632,-93.466342"
41,1783,"0.626143,0.244958,-86.951071"
41,1749,"0.656858,0.374869,-86.947476"
42,476,"1.296372,0.634410,-81.954642"
42,200,"1.214037,0.714570,-93.472055"
42,3438,"1.173060,0.742293,-86.962977"
42,3439,"1.179234,0.737875,-81.909667"
42,201,"1.180386,0.761026,-86.981340"
42,475,"1.288152,0.637891,-86.979933"
42,202,"1.175490,0.755935,-81.977456"
42,2209,"1.179019,0.734611,-81.930927"
42,2208,"1.176095,0.744268,-86.967153"
43,241,"1.781227,1.066844,-86.954675"
43,240,"1.793100,1.061585,-93.483601"
43,1407,"1.836149,1.042514,-86.959602"
43,3376,"1.781352,1.066813,-86.954720"
43,1408,"1.836571,1.038300,-81.873187"
43,242,"1.781869,1.066962,-81.846089"
43,3377,"1.781992,1.066932,-81.845870"
43,565,"1.783925,1.066751,-81.832335"
43,564,"1.783366,1.066440,-86.920346"
44,1137,"2.395367,1.381292,-81.929110"
44,2672,"2.395922,1.377714,-81.875973"
44,993,"2.395445,1.380720,-81.940050"
44,1332,"2.377503,1.350176,-86.893506"
44,991,"2.393421,1.375580,-93.486484"
44,2671,"2.395383,1.376518,-86.960536"
44,1333,"2.381789,1.364950,-81.911027"
44,1136,"2.391758,1.373545,-86.976944"
44,992,"2.389569,1.370130,-86.953073"
45,2602,"-2.444452,-0.737303,-86.975743"
45,1931,"-2.445025,-0.735653,-86.964289"
45,951,"-2.443744,-0.736343,-81.985236"
45,2603,"-2.445336,-0.733769,-81.866278"
45,949,"-2.410323,-0.730144,-93.483355"
45,3596,"-2.327359,-0.717678,-86.962599"
45,3597,"-2.326123,-0.716466,-81.862174"
45,950,"-2.441571,-0.742238,-86.983002"
45,1932,"-2.444870,-0.734785,-81.855274"
46,1542,"-1.788934,-0.398315,-86.920955"
