Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z
-1.497494,-2.018106,-98.250000,-1.497494,-2.018106,98.250000
0.306538,0.406780,-98.250000,0.306538,0.406780,98.250000
0.932752,0.687773,-98.250000,0.932752,0.687773,98.250000
-2.707719,0.669613,-98.250000,-2.707719,0.669613,98.250000
-0.128028,-3.018987,-98.250000,-0.128028,-3.018987,98.250000
1.030663,-0.883677,-98.250000,1.030663,-0.883677,98.250000
0.753429,-2.085000,-98.250000,0.753429,-2.085000,98.250000
-0.238417,-1.991597,-98.250000,-0.238417,-1.991597,98.250000
-1.968412,1.539815,-98.250000,-1.968412,1.539815,98.250000
0.986392,-0.903542,-98.250000,0.986392,-0.903542,98.250000
-1.902602,-0.584501,-98.250000,-1.902602,-0.584501,98.250000
1.549792,-1.727657,-98.250000,1.549792,-1.727657,98.250000
0.935979,-0.926163,-98.250000,0.935979,-0.926163,98.250000
1.374298,-0.191020,-98.250000,1.374298,-0.191020,98.250000
0.300891,-1.749600,-98.250000,0.300891,-1.749600,98.250000
-0.891282,0.946220,-98.250000,-0.891282,0.946220,98.250000
0.956243,-1.455532,-98.250000,0.956243,-1.455532,98.250000
-2.101733,0.403068,-98.250000,-2.101733,0.403068,98.250000
1.233109,-0.254374,-98.250000,1.233109,-0.254374,98.250000
-2.179189,-1.785534,-98.250000,-2.179189,-1.785534,98.250000
2.094563,-0.944747,-98.250000,2.094563,-0.944747,98.250000
-0.861980,-1.194478,-98.250000,-0.861980,-1.194478,98.250000
2.665377,-1.227075,-98.250000,2.665377,-1.227075,98.250000
-1.702897,0.582033,-98.250000,-1.702897,0.582033,98.250000
1.112992,1.845573,-98.250000,1.112992,1.845573,98.250000
-2.661920,1.228626,-98.250000,-2.661920,1.228626,98.250000
-2.698877,-1.480265,-98.250000,-2.698877,-1.480265,98.250000
2.400000,-3.500000,-98.250000,2.400000,-3.500000,98.250000
2.663550,-0.689433,-98.250000,2.663550,-0.689433,98.250000
-0.143590,1.820184,-98.250000,-0.143590,1.820184,98.250000
0.297571,2.018141,-98.250000,0.297571,2.018141,98.250000
1.442985,1.993647,-98.250000,1.442985,1.993647,98.250000
-0.359699,-0.430634,-98.250000,-0.359699,-0.430634,98.250000
-0.860203,0.960165,-98.250000,-0.860203,0.960165,98.250000
-0.219880,-0.906357,-98.250000,-0.219880,-0.906357,98.250000
-1.507707,0.669619,-98.250000,-1.507707,0.669619,98.250000
0.337576,-1.194678,-98.250000,0.337576,-1.194678,98.250000
0.864198,-1.496834,-98.250000,0.864198,-1.496834,98.250000
2.396309,-0.270887,-98.250000,2.396309,-0.270887,98.250000
2.107408,1.214863,-98.250000,2.107408,1.214863,98.250000
1.459806,-0.691113,-98.250000,1.459806,-0.691113,98.250000
0.910945,-2.014320,-98.250000,0.910945,-2.014320,98.250000
2.233204,-0.882537,-98.250000,2.233204,-0.882537,98.250000
-0.302348,-0.404900,-98.250000,-0.302348,-0.404900,98.250000
0.356947,0.967861,-98.250000,0.356947,0.967861,98.250000
-0.267019,-0.927509,-98.250000,-0.267019,-0.927509,98.250000
-0.301460,2.826268,-98.250000,-0.301460,2.826268,98.250000
0.341315,0.422385,-98.250000,0.341315,0.422385,98.250000
-1.492110,-1.477229,-98.250000,-1.492110,-1.477229,98.250000
-0.897604,0.404921,-98.250000,-0.897604,0.404921,98.250000
-0.863011,0.420444,-98.250000,-0.863011,0.420444,98.250000
0.617836,2.161849,-98.250000,0.617836,2.161849,98.250000
-0.171867,-0.884812,-98.250000,-0.171867,-0.884812,98.250000
1.646193,-0.607477,-98.250000,1.646193,-0.607477,98.250000
0.482785,-0.591058,-98.250000,0.482785,-0.591058,98.250000
1.495559,1.478776,-98.250000,1.495559,1.478776,98.250000
-0.719175,-0.591938,-98.250000,-0.719175,-0.591938,98.250000
-2.138978,0.924818,-98.250000,-2.138978,0.924818,98.250000
2.149894,1.233927,-98.250000,2.149894,1.233927,98.250000
-1.540579,1.193330,-98.250000,-1.540579,1.193330,98.250000
1.450488,1.458552,-98.250000,1.450488,1.458552,98.250000
-0.088725,1.844803,-98.250000,-0.088725,1.844803,98.250000
0.942329,-1.461776,-98.250000,0.942329,-1.461776,98.250000
0.370370,-0.641500,-98.250000,0.370370,-0.641500,98.250000
-1.459806,0.691113,-98.250000,-1.459806,0.691113,98.250000
-0.293282,-2.016216,-98.250000,-0.293282,-2.016216,98.250000
1.025571,-0.347500,-98.250000,1.025571,-0.347500,98.250000
-0.245972,2.851167,-98.250000,-0.245972,2.851167,98.250000
1.953429,-2.085000,-98.250000,1.953429,-2.085000,98.250000
2.146447,1.232380,-98.250000,2.146447,1.232380,98.250000
0.943480,1.231049,-98.250000,0.943480,1.231049,98.250000
0.846369,-0.966373,-98.250000,0.846369,-0.966373,98.250000
1.544017,-1.191787,-98.250000,1.544017,-1.191787,98.250000
-2.076775,-1.739579,-98.250000,-2.076775,-1.739579,98.250000
-0.247127,-1.457044,-98.250000,-0.247127,-1.457044,98.250000
-1.041594,-0.198151,-98.250000,-1.041594,-0.198151,98.250000
0.387878,1.520202,-98.250000,0.387878,1.520202,98.250000
0.903232,0.674527,-98.250000,0.903232,0.674527,98.250000
-2.744798,-1.500871,-98.250000,-2.744798,-1.500871,98.250000
-1.504077,0.671247,-98.250000,-1.504077,0.671247,98.250000
-1.464377,-1.464785,-98.250000,-1.464377,-1.464785,98.250000
0.982762,-0.905171,-98.250000,0.982762,-0.905171,98.250000
0.391553,1.521851,-98.250000,0.391553,1.521851,98.250000
-1.541799,-1.499525,-98.250000,-1.541799,-1.499525,98.250000
0.501042,-0.582866,-98.250000,0.501042,-0.582866,98.250000
-2.037294,-1.183401,-98.250000,-2.037294,-1.183401,98.250000
0.238417,1.991597,-98.250000,0.238417,1.991597,98.250000
0.557120,2.134605,-98.250000,0.557120,2.134605,98.250000
-2.061680,-1.732805,-98.250000,-2.061680,-1.732805,98.250000
-2.460774,-0.296501,-98.250000,-2.460774,-0.296501,98.250000
-2.625138,-0.908716,-98.250000,-2.625138,-0.908716,98.250000
2.103248,0.674534,-98.250000,2.103248,0.674534,98.250000
1.054214,1.819199,-98.250000,1.054214,1.819199,98.250000
0.966176,-1.989536,-98.250000,0.966176,-1.989536,98.250000
-2.574429,-0.347500,-98.250000,-2.574429,-0.347500,98.250000
-0.902813,-1.751262,-98.250000,-0.902813,-1.751262,98.250000
-0.300427,0.672885,-98.250000,-0.300427,0.672885,98.250000
0.088725,-1.844803,-98.250000,0.088725,-1.844803,98.250000
2.114440,-1.474290,-98.250000,2.114440,-1.474290,98.250000
-1.374429,-0.347500,-98.250000,-1.374429,-0.347500,98.250000
-0.939576,-0.152374,-98.250000,-0.939576,-0.152374,98.250000
0.446571,2.085000,-98.250000,0.446571,2.085000,98.250000
-1.501588,1.210826,-98.250000,-1.501588,1.210826,98.250000
-0.165846,-3.035957,-98.250000,-0.165846,-3.035957,98.250000
2.185412,-0.903982,-98.250000,2.185412,-0.903982,98.250000
-2.144688,-0.154668,-98.250000,-2.144688,-0.154668,98.250000
-0.382488,1.174525,-98.250000,-0.382488,1.174525,98.250000
-0.297375,2.828101,-98.250000,-0.297375,2.828101,98.250000
1.590476,1.521367,-98.250000,1.590476,1.521367,98.250000
-2.049183,0.426648,-98.250000,-2.049183,0.426648,98.250000
1.501763,2.020022,-98.250000,1.501763,2.020022,98.250000
-0.021000,-2.432500,-98.250000,-0.021000,-2.432500,98.250000
-2.620194,1.247349,-98.250000,-2.620194,1.247349,98.250000
1.179000,-2.432500,-98.250000,1.179000,-2.432500,98.250000
1.540579,-1.193330,-98.250000,1.540579,-1.193330,98.250000
-2.711342,0.667988,-98.250000,-2.711342,0.667988,98.250000
-2.105887,0.401204,-98.250000,-2.105887,0.401204,98.250000
1.515303,0.949174,-98.250000,1.515303,0.949174,98.250000
-0.518675,2.190338,-98.250000,-0.518675,2.190338,98.250000
-0.344848,2.268338,-98.250000,-0.344848,2.268338,98.250000
-1.259675,-0.296008,-98.250000,-1.259675,-0.296008,98.250000
-1.646571,-2.085000,-98.250000,-1.646571,-2.085000,98.250000
0.301460,-2.826268,-98.250000,0.301460,-2.826268,98.250000
-2.068410,-1.197364,-98.250000,-2.068410,-1.197364,98.250000
-2.673016,-0.930200,-98.250000,-2.673016,-0.930200,98.250000
-0.298589,1.212172,-98.250000,-0.298589,1.212172,98.250000
1.571640,-1.179392,-98.250000,1.571640,-1.179392,98.250000
0.901776,-0.403049,-98.250000,0.901776,-0.403049,98.250000
-0.814712,1.519040,-98.250000,-0.814712,1.519040,98.250000
2.117896,-1.472739,-98.250000,2.117896,-1.472739,98.250000
-0.297571,-2.018141,-98.250000,-0.297571,-2.018141,98.250000
-0.995305,0.361081,-98.250000,-0.995305,0.361081,98.250000
-0.226808,1.782843,-98.250000,-0.226808,1.782843,98.250000
2.576893,0.887067,-98.250000,2.576893,0.887067,98.250000
0.738862,2.216156,-98.250000,0.738862,2.216156,98.250000
-0.385415,-2.057558,-98.250000,-0.385415,-2.057558,98.250000
2.200400,-0.358795,-98.250000,2.200400,-0.358795,98.250000
-0.256028,1.231270,-98.250000,-0.256028,1.231270,98.250000
-2.114440,1.474290,-98.250000,-2.114440,1.474290,98.250000
-1.474689,0.684434,-98.250000,-1.474689,0.684434,98.250000
2.049678,-0.964888,-98.250000,2.049678,-0.964888,98.250000
-0.110358,-3.011058,-98.250000,-0.110358,-3.011058,98.250000
-2.035627,-0.644191,-98.250000,-2.035627,-0.644191,98.250000
-0.811029,1.520692,-98.250000,-0.811029,1.520692,98.250000
-1.431202,1.242409,-98.250000,-1.431202,1.242409,98.250000
-2.063502,0.958685,-98.250000,-2.063502,0.958685,98.250000
-0.370370,0.641500,-98.250000,-0.370370,0.641500,98.250000
1.594143,1.523013,-98.250000,1.594143,1.523013,98.250000
-0.064378,-0.298118,-98.250000,-0.064378,-0.298118,98.250000
2.061680,1.732805,-98.250000,2.061680,1.732805,98.250000
-1.290417,1.844044,-98.250000,-1.290417,1.844044,98.250000
-2.191484,-1.252589,-98.250000,-2.191484,-1.252589,98.250000
-1.163570,-0.252884,-98.250000,-1.163570,-0.252884,98.250000
-0.857868,-1.731094,-98.250000,-0.857868,-1.731094,98.250000
-1.309657,1.835410,-98.250000,-1.309657,1.835410,98.250000
-0.906634,2.016254,-98.250000,-0.906634,2.016254,98.250000
0.297208,-1.751253,-98.250000,0.297208,-1.751253,98.250000
-1.956081,-0.608498,-98.250000,-1.956081,-0.608498,98.250000
-1.450488,-1.458552,-98.250000,-1.450488,-1.458552,98.250000
0.860423,2.270703,-98.250000,0.860423,2.270703,98.250000
-1.983645,1.532980,-98.250000,-1.983645,1.532980,98.250000
0.421358,1.535225,-98.250000,0.421358,1.535225,98.250000
-1.564172,-0.432642,-98.250000,-1.564172,-0.432642,98.250000
2.191484,1.252589,-98.250000,2.191484,1.252589,98.250000
-0.228274,1.243723,-98.250000,-0.228274,1.243723,98.250000
1.290417,-1.844044,-98.250000,1.290417,-1.844044,98.250000
-0.446571,-2.085000,-98.250000,-0.446571,-2.085000,98.250000
-0.297208,1.751253,-98.250000,-0.297208,1.751253,98.250000
-0.447031,-3.162129,-98.250000,-0.447031,-3.162129,98.250000
0.304064,-0.671253,-98.250000,0.304064,-0.671253,98.250000
2.581744,-0.187679,-98.250000,2.581744,-0.187679,98.250000
-1.389350,-0.892657,-98.250000,-1.389350,-0.892657,98.250000
-0.935979,0.926163,-98.250000,-0.935979,0.926163,98.250000
1.510694,0.408645,-98.250000,1.510694,0.408645,98.250000
-0.911099,1.475789,-98.250000,-0.911099,1.475789,98.250000
2.338143,-0.296987,-98.250000,2.338143,-0.296987,98.250000
-0.174429,-0.347500,-98.250000,-0.174429,-0.347500,98.250000
0.034579,-0.253714,-98.250000,0.034579,-0.253714,98.250000
-2.146447,-1.232380,-98.250000,-2.146447,-1.232380,98.250000
0.550881,2.131805,-98.250000,0.550881,2.131805,98.250000
-1.221000,-2.432500,-98.250000,-1.221000,-2.432500,98.250000
-2.591899,-0.893801,-98.250000,-2.591899,-0.893801,98.250000
2.136487,0.689449,-98.250000,2.136487,0.689449,98.250000
2.024776,-2.052985,-98.250000,2.024776,-2.052985,98.250000
0.899588,0.672892,-98.250000,0.899588,0.672892,98.250000
0.259479,-1.229721,-98.250000,0.259479,-1.229721,98.250000
0.382488,-1.174525,-98.250000,0.382488,-1.174525,98.250000
-2.200400,0.358795,-98.250000,-2.200400,0.358795,98.250000
1.534560,-1.734492,-98.250000,1.534560,-1.734492,98.250000
-0.904409,-1.213517,-98.250000,-0.904409,-1.213517,98.250000
-0.161761,-3.034124,-98.250000,-0.161761,-3.034124,98.250000
-0.330308,-2.571292,-98.250000,-0.330308,-2.571292,98.250000
0.891282,-0.946220,-98.250000,0.891282,-0.946220,98.250000
1.429806,-1.781497,-98.250000,1.429806,-1.781497,98.250000
2.484159,-1.846852,-98.250000,2.484159,-1.846852,98.250000
-2.067318,0.418511,-98.250000,-2.067318,0.418511,98.250000
-0.292233,-1.477284,-98.250000,-0.292233,-1.477284,98.250000
1.623876,1.536355,-98.250000,1.623876,1.536355,98.250000
-0.312007,-0.947695,-98.250000,-0.312007,-0.947695,98.250000
2.035627,0.644191,-98.250000,2.035627,0.644191,98.250000
1.196036,-0.271010,-98.250000,1.196036,-0.271010,98.250000
-1.590510,-2.059844,-98.250000,-1.590510,-2.059844,98.250000
-0.356947,-0.967861,-98.250000,-0.356947,-0.967861,98.250000
-0.256051,0.692798,-98.250000,-0.256051,0.692798,98.250000
0.209790,0.363367,-98.250000,0.209790,0.363367,98.250000
-1.030663,0.883677,-98.250000,-1.030663,0.883677,98.250000
-2.064968,-1.195819,-98.250000,-2.064968,-1.195819,98.250000
2.151493,0.696183,-98.250000,2.151493,0.696183,98.250000
1.470018,0.928854,-98.250000,1.470018,0.928854,98.250000
-2.049678,0.964888,-98.250000,-2.049678,0.964888,98.250000
2.106900,0.676173,-98.250000,2.106900,0.676173,98.250000
2.105887,-0.401204,-98.250000,2.105887,-0.401204,98.250000
1.470541,-0.147834,-98.250000,1.470541,-0.147834,98.250000
0.312007,0.947695,-98.250000,0.312007,0.947695,98.250000
0.906488,1.752911,-98.250000,0.906488,1.752911,98.250000
0.672441,2.186352,-98.250000,0.672441,2.186352,98.250000
1.374385,0.885942,-98.250000,1.374385,0.885942,98.250000
1.800000,0.000000,-98.250000,1.800000,0.000000,98.250000
0.528110,-2.724566,-98.250000,0.528110,-2.724566,98.250000
0.214373,-1.249961,-98.250000,0.214373,-1.249961,98.250000
-1.345648,1.819260,-98.250000,-1.345648,1.819260,98.250000
-0.058538,-0.295498,-98.250000,-0.058538,-0.295498,98.250000
0.343104,0.961649,-98.250000,0.343104,0.961649,98.250000
0.404571,-2.780000,-98.250000,0.404571,-2.780000,98.250000
0.946930,1.232597,-98.250000,0.946930,1.232597,98.250000
0.226808,-1.782843,-98.250000,0.226808,-1.782843,98.250000
0.700791,0.583688,-98.250000,0.700791,0.583688,98.250000
2.145694,-1.460265,-98.250000,2.145694,-1.460265,98.250000
-2.653841,-1.460057,-98.250000,-2.653841,-1.460057,98.250000
0.110358,3.011058,-98.250000,0.110358,3.011058,98.250000
0.857868,1.731094,-98.250000,0.857868,1.731094,98.250000
2.138978,-0.924818,-98.250000,2.138978,-0.924818,98.250000
-0.147879,1.818259,-98.250000,-0.147879,1.818259,98.250000
-1.515302,-0.949174,-98.250000,-1.515302,-0.949174,98.250000
0.368654,-1.180732,-98.250000,0.368654,-1.180732,98.250000
-0.906488,-1.752911,-98.250000,-0.906488,-1.752911,98.250000
-0.700791,-0.583688,-98.250000,-0.700791,-0.583688,98.250000
-0.844753,0.428636,-98.250000,-0.844753,0.428636,98.250000
1.058483,1.821114,-98.250000,1.058483,1.821114,98.250000
0.844753,-0.428636,-98.250000,0.844753,-0.428636,98.250000
-0.988551,-1.251273,-98.250000,-0.988551,-1.251273,98.250000
1.504604,-1.747934,-98.250000,1.504604,-1.747934,98.250000
2.343848,-0.294427,-98.250000,2.343848,-0.294427,98.250000
