Start,End
"1.496594,-2.556164","1.468532,-2.543572"
"1.468532,-2.543572","1.360988,-2.495315"
"1.360988,-2.495315","1.221000,-2.432500"
"-2.776367,-0.638809","-2.841500,-0.609583"
"-2.841500,-0.609583","-2.962000,-0.555513"
"-2.962000,-0.555513","-3.000000,-0.538462"
"3.000000,-2.692308","2.673627,-2.545858"
"2.673627,-2.545858","2.421000,-2.432500"
"2.421000,-2.432500","2.132069,-2.302851"
"2.132069,-2.302851","2.021375,-2.253181"
"2.021375,-2.253181","1.885769,-2.192332"
"1.885769,-2.192332","1.646571,-2.085000"
"-2.741959,-0.115788","-2.841500,-0.071122"
"-2.841500,-0.071122","-2.962000,-0.017051"
"-2.962000,-0.017051","-3.000000,0.000000"
"3.000000,-2.153846","2.846571,-2.085000"
"2.846571,-2.085000","2.795605,-2.062131"
"2.795605,-2.062131","2.546157,-1.950199"
"2.546157,-1.950199","2.410551,-1.889350"
"2.410551,-1.889350","2.179189,-1.785534"
"-2.619981,0.367940","-2.841500,0.467340"
"-2.841500,0.467340","-2.962000,0.521410"
"-2.962000,0.521410","-3.000000,0.538462"
"3.000000,-1.615385","2.962000,-1.598333"
"2.962000,-1.598333","2.841500,-1.544263"
"2.841500,-1.544263","2.744798,-1.500871"
"-2.673016,0.930200","-2.841500,1.005801"
"-2.841500,1.005801","-2.962000,1.059872"
"-2.962000,1.059872","-3.000000,1.076923"
"3.000000,-1.076923","2.962000,-1.059872"
"2.962000,-1.059872","2.841500,-1.005801"
"2.841500,-1.005801","2.673016,-0.930200"
"-2.744798,1.500871","-2.841500,1.544263"
"-2.841500,1.544263","-2.962000,1.598333"
"-2.962000,1.598333","-3.000000,1.615385"
"3.000000,-0.538462","2.962000,-0.521410"
"2.962000,-0.521410","2.841500,-0.467340"
"2.841500,-0.467340","2.619981,-0.367940"
"-2.179189,1.785534","-2.410551,1.889350"
"-2.410551,1.889350","-2.546157,1.950199"
"-2.546157,1.950199","-2.795605,2.062131"
"-2.795605,2.062131","-2.846571,2.085000"
"-2.846571,2.085000","-3.000000,2.153846"
"3.000000,0.000000","2.962000,0.017051"
"2.962000,0.017051","2.841500,0.071122"
