x,y
-0.946356,-3.029137
-1.184627,-3.127500
-0.789522,-2.964392
-0.946356,-3.029137
-0.648999,-2.906382
-0.789522,-2.964392
-0.390018,-2.799469
-0.648999,-2.906382
-0.304580,-2.764199
-0.390018,-2.799469
-0.300738,-2.762612
-0.304580,-2.764199
-0.269420,-2.749684
-0.300738,-2.762612
-0.253382,-2.743063
-0.269420,-2.749684
0.153537,-2.575078
-0.253382,-2.743063
0.169575,-2.568457
0.153537,-2.575078
0.200893,-2.555529
0.169575,-2.568457
0.204736,-2.553942
0.200893,-2.555529
0.258040,-2.531938
0.204736,-2.553942
0.307331,-2.511589
0.258040,-2.531938
0.310826,-2.510146
0.307331,-2.511589
0.338934,-2.498542
0.310826,-2.510146
0.353012,-2.492731
0.338934,-2.498542
0.820776,-2.299629
0.353012,-2.492731
0.834853,-2.293817
0.820776,-2.299629
0.862961,-2.282213
0.834853,-2.293817
0.866457,-2.280770
0.862961,-2.282213
0.906097,-2.264406
0.866457,-2.280770
0.945964,-2.247948
0.906097,-2.264406
0.949483,-2.246496
0.945964,-2.247948
0.977801,-2.234805
0.949483,-2.246496
0.992003,-2.228942
0.977801,-2.234805
1.455417,-2.037636
0.992003,-2.228942
1.469619,-2.031773
1.455417,-2.037636
1.497937,-2.020082
1.469619,-2.031773
1.501456,-2.018630
1.497937,-2.020082
1.554155,-1.996875
1.501456,-2.018630
1.611904,-1.973034
1.554155,-1.996875
1.615842,-1.971409
1.611904,-1.973034
1.648062,-1.958108
1.615842,-1.971409
1.664674,-1.951250
1.648062,-1.958108
2.056378,-1.789547
1.664674,-1.951250
2.072991,-1.782689
2.056378,-1.789547
2.105211,-1.769387
2.072991,-1.782689
2.109148,-1.767762
2.105211,-1.769387
2.202212,-1.729343
2.109148,-1.767762
2.317995,-1.681545
2.202212,-1.729343
2.323495,-1.679275
2.317995,-1.681545
2.372869,-1.658893
2.323495,-1.679275
2.404013,-1.646036
2.372869,-1.658893
2.590671,-1.568979
2.404013,-1.646036
2.621815,-1.556122
2.590671,-1.568979
2.671190,-1.535740
2.621815,-1.556122
2.676689,-1.533469
2.671190,-1.535740
2.741400,-1.506755
2.676689,-1.533469
-2.060371,-3.381333
-2.347826,-3.500000
-1.412314,-3.113801
-2.060371,-3.381333
-0.898283,-2.901599
