x,y,z
-0.238417,-1.991597,43.250000
-0.257505,-2.000162,43.250000
0.088725,-1.844803,43.250000
-0.238417,-1.991597,43.250000
0.107812,-1.836238,-83.250000
0.088725,-1.844803,-83.250000
0.143590,-1.820184,-83.250000
0.107812,-1.836238,-83.250000
0.147879,-1.818259,-83.250000
0.143590,-1.820184,-83.250000
0.226808,-1.782843,-93.250000
0.147879,-1.818259,-93.250000
0.297208,-1.751253,-83.250000
0.226808,-1.782843,-83.250000
0.300891,-1.749600,-83.250000
0.297208,-1.751253,-83.250000
0.330771,-1.736193,-83.250000
0.300891,-1.749600,-83.250000
0.345956,-1.729379,43.250000
0.330771,-1.736193,43.250000
0.765963,-1.540914,43.250000
0.345956,-1.729379,43.250000
0.781149,-1.534100,-83.250000
0.765963,-1.540914,-83.250000
0.811029,-1.520692,-83.250000
0.781149,-1.534100,-83.250000
0.814712,-1.519040,-83.250000
0.811029,-1.520692,-83.250000
0.864198,-1.496834,-93.250000
0.814712,-1.519040,-93.250000
0.911099,-1.475789,-83.250000
0.864198,-1.496834,-83.250000
0.914553,-1.474239,-83.250000
0.911099,-1.475789,-83.250000
0.942329,-1.461776,-83.250000
0.914553,-1.474239,-83.250000
0.956243,-1.455532,43.250000
0.942329,-1.461776,43.250000
1.417288,-1.248653,43.250000
0.956243,-1.455532,43.250000
1.431202,-1.242409,-83.250000
1.417288,-1.248653,-83.250000
1.458978,-1.229946,-83.250000
1.431202,-1.242409,-83.250000
1.462432,-1.228396,-83.250000
1.458978,-1.229946,-83.250000
1.501588,-1.210826,-93.250000
1.462432,-1.228396,-93.250000
1.540579,-1.193330,-83.250000
1.501588,-1.210826,-83.250000
1.544017,-1.191787,-83.250000
1.540579,-1.193330,-83.250000
1.571640,-1.179392,-83.250000
1.544017,-1.191787,-83.250000
1.585465,-1.173189,43.250000
1.571640,-1.179392,43.250000
2.049678,-0.964888,43.250000
1.585465,-1.173189,43.250000
2.063502,-0.958685,-83.250000
2.049678,-0.964888,-83.250000
2.091126,-0.946290,-83.250000
2.063502,-0.958685,-83.250000
2.094563,-0.944747,-83.250000
2.091126,-0.946290,-83.250000
2.138978,-0.924818,-93.250000
2.094563,-0.944747,-93.250000
2.185412,-0.903982,-83.250000
2.138978,-0.924818,-83.250000
2.189035,-0.902356,-83.250000
2.185412,-0.903982,-83.250000
2.218359,-0.889198,-83.250000
2.189035,-0.902356,-83.250000
2.233204,-0.882537,43.250000
2.218359,-0.889198,43.250000
2.663550,-0.689433,43.250000
2.233204,-0.882537,43.250000
2.678395,-0.682772,-83.250000
2.663550,-0.689433,-83.250000
2.707719,-0.669613,-83.250000
2.678395,-0.682772,-83.250000
2.711342,-0.667988,-83.250000
2.707719,-0.669613,-83.250000
2.776367,-0.638809,-83.250000
2.711342,-0.667988,-83.250000
-1.590510,-2.059844,-93.250000
-1.646571,-2.085000,-93.250000
-1.501763,-2.020022,-83.250000
-1.590510,-2.059844,-83.250000
-1.497494,-2.018106,-83.250000
-1.501763,-2.020022,-83.250000
-1.461925,-2.002146,-83.250000
-1.497494,-2.018106,-83.250000
-1.442985,-1.993647,43.250000
-1.461925,-2.002146,43.250000
-1.112992,-1.845573,43.250000
-1.442985,-1.993647,43.250000
-1.094052,-1.837075,-83.250000
-1.112992,-1.845573,-83.250000
-1.058483,-1.821114,-83.250000
-1.094052,-1.837075,-83.250000
-1.054214,-1.819199,-83.250000
-1.058483,-1.821114,-83.250000
-0.976191,-1.784188,-93.250000
-1.054214,-1.819199,-93.250000
-0.906488,-1.752911,-83.250000
-0.976191,-1.784188,-83.250000
-0.902813,-1.751262,-83.250000
-0.906488,-1.752911,-83.250000
-0.873007,-1.737888,-83.250000
-0.902813,-1.751262,-83.250000
-0.857868,-1.731094,43.250000
-0.873007,-1.737888,43.250000
-0.436498,-1.542018,43.250000
-0.857868,-1.731094,43.250000
-0.421358,-1.535225,-83.250000
-0.436498,-1.542018,-83.250000
-0.391553,-1.521851,-83.250000
-0.421358,-1.535225,-83.250000
-0.387878,-1.520202,-83.250000
-0.391553,-1.521851,-83.250000
-0.338801,-1.498180,-93.250000
-0.387878,-1.520202,-93.250000
-0.292233,-1.477284,-83.250000
-0.338801,-1.498180,-83.250000
-0.288782,-1.475735,-83.250000
-0.292233,-1.477284,-83.250000
-0.261028,-1.463282,-83.250000
-0.288782,-1.475735,-83.250000
-0.247127,-1.457044,43.250000
-0.261028,-1.463282,43.250000
0.214373,-1.249961,43.250000
-0.247127,-1.457044,43.250000
0.228274,-1.243723,-83.250000
0.214373,-1.249961,-83.250000
0.256028,-1.231270,-83.250000
0.228274,-1.243723,-83.250000
0.259479,-1.229721,-83.250000
0.256028,-1.231270,-83.250000
0.298589,-1.212172,-93.250000
0.259479,-1.229721,-93.250000
0.337576,-1.194678,-83.250000
0.298589,-1.212172,-83.250000
0.341015,-1.193135,-83.250000
0.337576,-1.194678,-83.250000
0.368654,-1.180732,-83.250000
0.341015,-1.193135,-83.250000
0.382488,-1.174525,43.250000
0.368654,-1.180732,43.250000
0.846369,-0.966373,43.250000
0.382488,-1.174525,43.250000
0.860203,-0.960165,-83.250000
0.846369,-0.966373,-83.250000
0.887843,-0.947763,-83.250000
0.860203,-0.960165,-83.250000
0.891282,-0.946220,-83.250000
0.887843,-0.947763,-83.250000
0.935979,-0.926163,-93.250000
0.891282,-0.946220,-93.250000
0.982762,-0.905171,-83.250000
0.935979,-0.926163,-83.250000
0.986392,-0.903542,-83.250000
0.982762,-0.905171,-83.250000
1.015780,-0.890355,-83.250000
0.986392,-0.903542,-83.250000
1.030663,-0.883677,43.250000
1.015780,-0.890355,43.250000
1.459806,-0.691113,43.250000
1.030663,-0.883677,43.250000
1.474689,-0.684434,-83.250000
1.459806,-0.691113,-83.250000
1.504077,-0.671247,-83.250000
1.474689,-0.684434,-83.250000
1.507707,-0.669619,-83.250000
1.504077,-0.671247,-83.250000
1.573369,-0.640155,-93.250000
1.507707,-0.669619,-93.250000
1.646193,-0.607477,-83.250000
1.573369,-0.640155,-83.250000
1.650347,-0.605613,-83.250000
1.646193,-0.607477,-83.250000
1.684762,-0.590171,-83.250000
1.650347,-0.605613,-83.250000
1.702897,-0.582033,43.250000
1.684762,-0.590171,43.250000
2.049183,-0.426648,43.250000
1.702897,-0.582033,43.250000
2.067318,-0.418511,-83.250000
2.049183,-0.426648,-83.250000
2.101733,-0.403068,-83.250000
2.067318,-0.418511,-83.250000
2.105887,-0.401204,-83.250000
2.101733,-0.403068,-83.250000
2.200400,-0.358795,-93.250000
2.105887,-0.401204,-93.250000
2.225571,-0.347500,-93.250000
2.200400,-0.358795,-93.250000
2.338143,-0.296987,-83.250000
2.225571,-0.347500,-83.250000
2.343848,-0.294427,-83.250000
2.338143,-0.296987,-83.250000
2.396309,-0.270887,-83.250000
2.343848,-0.294427,-83.250000
2.431948,-0.254895,43.250000
2.396309,-0.270887,43.250000
2.581744,-0.187679,43.250000
2.431948,-0.254895,43.250000
2.617383,-0.171687,-83.250000
2.581744,-0.187679,-83.250000
2.669845,-0.148147,-83.250000
2.617383,-0.171687,-83.250000
2.675549,-0.145587,-83.250000
2.669845,-0.148147,-83.250000
2.741959,-0.115788,-83.250000
2.675549,-0.145587,-83.250000
-2.110175,-1.754566,-83.250000
-2.179189,-1.785534,-83.250000
-2.106508,-1.752920,-83.250000
-2.110175,-1.754566,-83.250000
-2.076775,-1.739579,-83.250000
-2.106508,-1.752920,-83.250000
-2.061680,-1.732805,43.250000
-2.076775,-1.739579,43.250000
-1.638971,-1.543128,43.250000
-2.061680,-1.732805,43.250000
-1.623876,-1.536355,-83.250000
-1.638971,-1.543128,-83.250000
-1.594143,-1.523013,-83.250000
-1.623876,-1.536355,-83.250000
-1.590476,-1.521367,-83.250000
-1.594143,-1.523013,-83.250000
-1.541799,-1.499525,-93.250000
-1.590476,-1.521367,-93.250000
-1.495559,-1.478776,-83.250000
-1.541799,-1.499525,-83.250000
-1.492110,-1.477229,-83.250000
-1.495559,-1.478776,-83.250000
-1.464377,-1.464785,-83.250000
-1.492110,-1.477229,-83.250000
-1.450488,-1.458552,43.250000
-1.464377,-1.464785,43.250000
-0.988551,-1.251273,43.250000
-1.450488,-1.458552,43.250000
-0.974662,-1.245041,-83.250000
-0.988551,-1.251273,-83.250000
-0.946930,-1.232597,-83.250000
-0.974662,-1.245041,-83.250000
-0.943480,-1.231049,-83.250000
-0.946930,-1.232597,-83.250000
-0.904409,-1.213517,-93.250000
-0.943480,-1.231049,-93.250000
-0.865421,-1.196022,-83.250000
-0.904409,-1.213517,-83.250000
-0.861980,-1.194478,-83.250000
-0.865421,-1.196022,-83.250000
-0.834324,-1.182068,-83.250000
-0.861980,-1.194478,-83.250000
-0.820480,-1.175857,43.250000
-0.834324,-1.182068,43.250000
-0.356947,-0.967861,43.250000
-0.820480,-1.175857,43.250000
-0.343104,-0.961649,-83.250000
-0.356947,-0.967861,-83.250000
-0.315447,-0.949239,-83.250000
-0.343104,-0.961649,-83.250000
-0.312007,-0.947695,-83.250000
-0.315447,-0.949239,-83.250000
-0.267019,-0.927509,-93.250000
-0.312007,-0.947695,-93.250000
-0.219880,-0.906357,-83.250000
-0.267019,-0.927509,-83.250000
-0.216243,-0.904725,-83.250000
-0.219880,-0.906357,-83.250000
-0.186790,-0.891508,-83.250000
-0.216243,-0.904725,-83.250000
-0.171867,-0.884812,43.250000
-0.186790,-0.891508,43.250000
0.256051,-0.692798,43.250000
-0.171867,-0.884812,43.250000
0.270974,-0.686101,-83.250000
0.256051,-0.692798,-83.250000
0.300427,-0.672885,-83.250000
0.270974,-0.686101,-83.250000
0.304064,-0.671253,-83.250000
0.300427,-0.672885,-83.250000
0.370370,-0.641500,-93.250000
0.304064,-0.671253,-93.250000
0.444019,-0.608453,-83.250000
0.370370,-0.641500,-83.250000
0.448191,-0.606581,-83.250000
0.444019,-0.608453,-83.250000
0.482785,-0.591058,-83.250000
0.448191,-0.606581,-83.250000
0.501042,-0.582866,43.250000
0.482785,-0.591058,43.250000
0.844753,-0.428636,43.250000
0.501042,-0.582866,43.250000
0.863011,-0.420444,-83.250000
0.844753,-0.428636,-83.250000
0.897604,-0.404921,-83.250000
0.863011,-0.420444,-83.250000
0.901776,-0.403049,-83.250000
0.897604,-0.404921,-83.250000
0.995305,-0.361081,-93.250000
0.901776,-0.403049,-93.250000
1.025571,-0.347500,-93.250000
0.995305,-0.361081,-93.250000
1.136866,-0.297560,-83.250000
1.025571,-0.347500,-83.250000
1.142637,-0.294971,-83.250000
1.136866,-0.297560,-83.250000
1.196036,-0.271010,-83.250000
1.142637,-0.294971,-83.250000
1.233109,-0.254374,43.250000
1.196036,-0.271010,43.250000
1.374298,-0.191020,43.250000
1.233109,-0.254374,43.250000
1.411371,-0.174385,-83.250000
1.374298,-0.191020,-83.250000
1.464770,-0.150424,-83.250000
1.411371,-0.174385,-83.250000
1.470541,-0.147834,-83.250000
1.464770,-0.150424,-83.250000
1.536864,-0.118074,-93.250000
1.470541,-0.147834,-93.250000
1.800000,0.000000,-93.250000
1.536864,-0.118074,-93.250000
2.078422,0.124933,-93.250000
1.800000,0.000000,-93.250000
2.144688,0.154668,-83.250000
2.078422,0.124933,-83.250000
2.150675,0.157354,-83.250000
2.144688,0.154668,-83.250000
2.207285,0.182756,-83.250000
2.150675,0.157354,-83.250000
2.250213,0.202018,43.250000
2.207285,0.182756,43.250000
2.361236,0.251837,43.250000
2.250213,0.202018,43.250000
2.404163,0.271099,-83.250000
2.361236,0.251837,-83.250000
2.460774,0.296501,-83.250000
2.404163,0.271099,-83.250000
2.466760,0.299187,-83.250000
