x,y
-1.496594,-2.556164
-1.995429,-2.780000
-1.468532,-2.543572
-1.496594,-2.556164
-1.360988,-2.495315
-1.468532,-2.543572
-1.221000,-2.432500
-1.360988,-2.495315
-0.926973,-2.300565
-1.221000,-2.432500
-0.860423,-2.270703
-0.926973,-2.300565
-0.854184,-2.267903
-0.860423,-2.270703
-0.793468,-2.240659
-0.854184,-2.267903
-0.738862,-2.216156
-0.793468,-2.240659
-0.672441,-2.186352
-0.738862,-2.216156
-0.617836,-2.161849
-0.672441,-2.186352
-0.557120,-2.134605
-0.617836,-2.161849
-0.550881,-2.131805
-0.557120,-2.134605
-0.446571,-2.085000
-0.550881,-2.131805
-0.385415,-2.057558
-0.446571,-2.085000
-0.297571,-2.018141
-0.385415,-2.057558
-0.293282,-2.016216
-0.297571,-2.018141
-0.257505,-2.000162
-0.293282,-2.016216
-0.238417,-1.991597
-0.257505,-2.000162
0.088725,-1.844803
-0.238417,-1.991597
0.107812,-1.836238
0.088725,-1.844803
0.143590,-1.820184
0.107812,-1.836238
0.147879,-1.818259
0.143590,-1.820184
0.226808,-1.782843
0.147879,-1.818259
0.297208,-1.751253
0.226808,-1.782843
0.300891,-1.749600
0.297208,-1.751253
0.330771,-1.736193
0.300891,-1.749600
0.345956,-1.729379
0.330771,-1.736193
0.765963,-1.540914
0.345956,-1.729379
0.781149,-1.534100
0.765963,-1.540914
0.811029,-1.520692
0.781149,-1.534100
0.814712,-1.519040
0.811029,-1.520692
0.864198,-1.496834
0.814712,-1.519040
0.911099,-1.475789
0.864198,-1.496834
0.914553,-1.474239
0.911099,-1.475789
0.942329,-1.461776
0.914553,-1.474239
0.956243,-1.455532
0.942329,-1.461776
1.417288,-1.248653
0.956243,-1.455532
1.431202,-1.242409
1.417288,-1.248653
1.458978,-1.229946
1.431202,-1.242409
1.462432,-1.228396
1.458978,-1.229946
1.501588,-1.210826
1.462432,-1.228396
1.540579,-1.193330
1.501588,-1.210826
1.544017,-1.191787
1.540579,-1.193330
1.571640,-1.179392
1.544017,-1.191787
1.585465,-1.173189
1.571640,-1.179392
2.049678,-0.964888
1.585465,-1.173189
2.063502,-0.958685
2.049678,-0.964888
2.091126,-0.946290
2.063502,-0.958685
2.094563,-0.944747
2.091126,-0.946290
2.138978,-0.924818
2.094563,-0.944747
2.185412,-0.903982
2.138978,-0.924818
2.189035,-0.902356
2.185412,-0.903982
2.218359,-0.889198
2.189035,-0.902356
2.233204,-0.882537
2.218359,-0.889198
2.663550,-0.689433
2.233204,-0.882537
2.678395,-0.682772
2.663550,-0.689433
2.707719,-0.669613
2.678395,-0.682772
2.711342,-0.667988
2.707719,-0.669613
2.776367,-0.638809
2.711342,-0.667988
-2.421000,-2.432500
-2.673627,-2.545858
-2.132069,-2.302851
-2.421000,-2.432500
-2.021375,-2.253181
-2.132069,-2.302851
-1.885769,-2.192332
-2.021375,-2.253181
-1.646571,-2.085000
-1.885769,-2.192332
-1.590510,-2.059844
-1.646571,-2.085000
-1.501763,-2.020022
-1.590510,-2.059844
-1.497494,-2.018106
-1.501763,-2.020022
-1.461925,-2.002146
-1.497494,-2.018106
-1.442985,-1.993647
-1.461925,-2.002146
-1.112992,-1.845573
-1.442985,-1.993647
-1.094052,-1.837075
-1.112992,-1.845573
-1.058483,-1.821114
-1.094052,-1.837075
-1.054214,-1.819199
-1.058483,-1.821114
-0.976191,-1.784188
-1.054214,-1.819199
-0.906488,-1.752911
-0.976191,-1.784188
-0.902813,-1.751262
-0.906488,-1.752911
-0.873007,-1.737888
-0.902813,-1.751262
-0.857868,-1.731094
-0.873007,-1.737888
-0.436498,-1.542018
-0.857868,-1.731094
-0.421358,-1.535225
-0.436498,-1.542018
-0.391553,-1.521851
-0.421358,-1.535225
-0.387878,-1.520202
-0.391553,-1.521851
-0.338801,-1.498180
-0.387878,-1.520202
-0.292233,-1.477284
-0.338801,-1.498180
-0.288782,-1.475735
-0.292233,-1.477284
-0.261028,-1.463282
-0.288782,-1.475735
-0.247127,-1.457044
-0.261028,-1.463282
0.214373,-1.249961
-0.247127,-1.457044
0.228274,-1.243723
0.214373,-1.249961
0.256028,-1.231270
0.228274,-1.243723
0.259479,-1.229721
0.256028,-1.231270
0.298589,-1.212172
0.259479,-1.229721
0.337576,-1.194678
0.298589,-1.212172
0.341015,-1.193135
0.337576,-1.194678
0.368654,-1.180732
0.341015,-1.193135
0.382488,-1.174525
0.368654,-1.180732
0.846369,-0.966373
0.382488,-1.174525
0.860203,-0.960165
0.846369,-0.966373
0.887843,-0.947763
0.860203,-0.960165
0.891282,-0.946220
0.887843,-0.947763
0.935979,-0.926163
